Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0080,001,1978/01/12 00:00:00,78,
B33F0080,001,1978/01/26 00:00:00,92,
B33F0080,001,1978/02/15 00:00:00,107,
B33F0080,001,1978/03/28 00:00:00,83,
B33F0080,001,1978/04/14 00:00:00,107,
B33F0080,001,1978/04/28 00:00:00,115,
B33F0080,001,1978/05/12 00:00:00,111,
B33F0080,001,1978/05/26 00:00:00,122,
B33F0080,001,1978/06/28 00:00:00,131,
B33F0080,001,1978/07/14 00:00:00,124,
B33F0080,001,1978/07/28 00:00:00,133,
B33F0080,001,1978/08/14 00:00:00,138,
B33F0080,001,1978/08/28 00:00:00,144,
B33F0080,001,1978/09/15 00:00:00,140,
B33F0080,001,1978/09/29 00:00:00,125,
B33F0080,001,1978/10/12 00:00:00,120,
B33F0080,001,1978/10/27 00:00:00,123,
B33F0080,001,1978/11/14 00:00:00,149,
B33F0080,001,1978/11/28 00:00:00,143,
B33F0080,001,1978/12/14 00:00:00,138,
B33F0080,001,1978/12/29 00:00:00,109,
B33F0080,001,1979/02/14 00:00:00,75,
B33F0080,001,1979/02/28 00:00:00,95,
B33F0080,001,1979/03/28 00:00:00,80,
B33F0080,001,1979/04/12 00:00:00,104,
B33F0080,001,1979/04/27 00:00:00,90,
B33F0080,001,1979/05/14 00:00:00,100,
B33F0080,001,1979/05/28 00:00:00,103,
B33F0080,001,1979/06/14 00:00:00,117,
B33F0080,001,1979/06/28 00:00:00,127,
B33F0080,001,1979/07/14 00:00:00,139,
B33F0080,001,1979/07/26 00:00:00,141,
B33F0080,001,1979/08/14 00:00:00,143,
B33F0080,001,1979/08/28 00:00:00,140,
B33F0080,001,1979/09/28 00:00:00,161,
B33F0080,001,1979/10/12 00:00:00,153,
B33F0080,001,1979/10/28 00:00:00,153,
B33F0080,001,1979/11/14 00:00:00,122,
B33F0080,001,1979/11/28 00:00:00,129,
B33F0080,001,1979/12/12 00:00:00,113,
B33F0080,001,1979/12/28 00:00:00,113,
B33F0080,001,1980/01/11 00:00:00,94,
B33F0080,001,1980/02/14 00:00:00,88,
B33F0080,001,1980/02/28 00:00:00,98,
B33F0080,001,1980/04/14 00:00:00,106,
B33F0080,001,1980/04/28 00:00:00,116,
B33F0080,001,1980/05/14 00:00:00,128,
B33F0080,001,1980/06/04 00:00:00,131,
B33F0080,001,1980/06/26 00:00:00,134,
B33F0080,001,1980/07/14 00:00:00,85,
B33F0080,001,1980/07/28 00:00:00,108,
B33F0080,001,1980/08/15 00:00:00,120,
B33F0080,001,1980/08/29 00:00:00,128,
B33F0080,001,1980/09/12 00:00:00,131,
B33F0080,001,1980/09/29 00:00:00,135,
B33F0080,001,1980/10/14 00:00:00,131,
B33F0080,001,1980/10/28 00:00:00,128,
B33F0080,001,1980/11/14 00:00:00,119,
B33F0080,001,1980/12/02 00:00:00,107,
B33F0080,001,1980/12/15 00:00:00,102,
B33F0080,001,1980/12/29 00:00:00,94,
B33F0080,001,1981/01/09 00:00:00,83,
B33F0080,001,1981/01/28 00:00:00,90,
B33F0080,001,1981/02/16 00:00:00,96,
B33F0080,001,1981/02/27 00:00:00,113,
B33F0080,001,1981/03/26 00:00:00,83,
B33F0080,001,1981/04/16 00:00:00,120,
B33F0080,001,1981/04/29 00:00:00,127,
B33F0080,001,1981/05/14 00:00:00,131,
B33F0080,001,1981/06/02 00:00:00,126,
B33F0080,001,1981/07/15 00:00:00,119,
B33F0080,001,1981/07/28 00:00:00,90,
B33F0080,001,1981/08/12 00:00:00,123,
B33F0080,001,1981/08/31 00:00:00,140,
B33F0080,001,1981/09/14 00:00:00,148,
B33F0080,001,1981/09/28 00:00:00,137,
B33F0080,001,1981/10/15 00:00:00,114,
B33F0080,001,1981/11/12 00:00:00,103,
B33F0080,001,1981/11/27 00:00:00,86,
B33F0080,001,1981/12/11 00:00:00,81,
B33F0080,001,1981/12/28 00:00:00,104,
B33F0080,001,1982/01/14 00:00:00,106,
B33F0080,001,1982/01/28 00:00:00,98,
B33F0080,001,1982/02/12 00:00:00,96,
B33F0080,001,1982/03/01 00:00:00,110,
B33F0080,001,1982/03/29 00:00:00,112,
B33F0080,001,1982/04/14 00:00:00,114,
B33F0080,001,1982/04/28 00:00:00,123,
B33F0080,001,1982/05/13 00:00:00,123,
B33F0080,001,1982/05/27 00:00:00,130,
B33F0080,001,1982/06/15 00:00:00,148,
B33F0080,001,1982/07/13 00:00:00,151,
B33F0080,001,1982/07/27 00:00:00,161,
B33F0080,001,1982/08/13 00:00:00,153,
B33F0080,001,1982/09/13 00:00:00,165,
B33F0080,001,1982/09/28 00:00:00,163,
B33F0080,001,1982/10/14 00:00:00,147,
B33F0080,001,1982/10/28 00:00:00,136,
B33F0080,001,1982/11/15 00:00:00,134,
B33F0080,001,1982/11/26 00:00:00,115,
B33F0080,001,1982/12/14 00:00:00,99,
B33F0080,001,1982/12/28 00:00:00,103,
B33F0080,001,1983/01/13 00:00:00,95,
B33F0080,001,1983/01/28 00:00:00,98,
B33F0080,001,1983/02/14 00:00:00,88,
B33F0080,001,1983/02/28 00:00:00,98,
B33F0080,001,1983/03/14 00:00:00,113,
B33F0080,001,1983/03/29 00:00:00,83,
B33F0080,001,1983/04/13 00:00:00,89,
B33F0080,001,1983/04/28 00:00:00,98,
B33F0080,001,1983/05/13 00:00:00,85,
B33F0080,001,1983/05/27 00:00:00,56,
B33F0080,001,1983/06/14 00:00:00,93,
B33F0080,001,1983/06/28 00:00:00,117,
B33F0080,001,1983/07/14 00:00:00,137,
B33F0080,001,1983/07/29 00:00:00,150,
B33F0080,001,1983/08/29 00:00:00,168,
B33F0080,001,1983/09/16 00:00:00,151,
B33F0080,001,1983/09/28 00:00:00,148,
B33F0080,001,1983/10/14 00:00:00,146,
B33F0080,001,1983/10/31 00:00:00,145,
B33F0080,001,1983/11/14 00:00:00,148,
B33F0080,001,1983/11/28 00:00:00,96,
B33F0080,001,1983/12/13 00:00:00,104,
B33F0080,001,1983/12/27 00:00:00,78,
B33F0080,001,1984/01/13 00:00:00,73,
B33F0080,001,1984/01/30 00:00:00,90,
B33F0080,001,1984/02/27 00:00:00,96,
B33F0080,001,1984/03/14 00:00:00,98,
B33F0080,001,1984/03/28 00:00:00,101,
B33F0080,001,1984/04/13 00:00:00,103,
B33F0080,001,1984/04/26 00:00:00,118,
B33F0080,001,1984/05/28 00:00:00,96,
B33F0080,001,1984/06/14 00:00:00,108,
B33F0080,001,1984/06/26 00:00:00,116,
B33F0080,001,1984/07/16 00:00:00,114,
B33F0080,001,1984/07/26 00:00:00,123,
B33F0080,001,1984/08/14 00:00:00,133,
B33F0080,001,1984/08/29 00:00:00,158,
B33F0080,001,1984/09/14 00:00:00,148,
B33F0080,001,1984/10/01 00:00:00,84,
B33F0080,001,1984/10/15 00:00:00,103,
B33F0080,001,1984/10/29 00:00:00,74,
B33F0080,001,1984/11/14 00:00:00,108,
B33F0080,001,1984/11/28 00:00:00,88,
B33F0080,001,1984/12/14 00:00:00,109,
B33F0080,001,1984/12/27 00:00:00,105,
B33F0080,001,1985/01/11 00:00:00,118,
B33F0080,001,1985/01/28 00:00:00,93,
B33F0080,001,1985/02/13 00:00:00,115,
B33F0080,001,1985/02/28 00:00:00,126,
B33F0080,001,1985/03/14 00:00:00,117,
B33F0080,001,1985/03/28 00:00:00,118,
B33F0080,001,1985/04/11 00:00:00,108,
B33F0080,001,1985/05/15 00:00:00,114,
B33F0080,001,1985/05/28 00:00:00,121,
B33F0080,001,1985/06/13 00:00:00,117,
B33F0080,001,1985/06/27 00:00:00,103,
B33F0080,001,1985/09/13 00:00:00,113,
B33F0080,001,1985/09/30 00:00:00,121,
B33F0080,001,1985/10/14 00:00:00,131,
B33F0080,001,1985/10/28 00:00:00,135,
B33F0080,001,1985/11/14 00:00:00,128,
B33F0080,001,1985/11/28 00:00:00,121,
B33F0080,001,1985/12/13 00:00:00,116,
B33F0080,001,1985/12/27 00:00:00,81,
B33F0080,001,1986/01/14 00:00:00,79,
B33F0080,001,1986/01/28 00:00:00,85,
B33F0080,001,1986/02/13 00:00:00,118,
B33F0080,001,1986/02/27 00:00:00,131,
B33F0080,001,1986/03/28 00:00:00,90,
B33F0080,001,1986/04/14 00:00:00,114,
B33F0080,001,1986/04/28 00:00:00,109,
B33F0080,001,1986/05/14 00:00:00,105,
B33F0080,001,1986/05/28 00:00:00,128,
B33F0080,001,1986/06/13 00:00:00,128,
B33F0080,001,1986/07/11 00:00:00,151,
B33F0080,001,1986/07/25 00:00:00,138,
B33F0080,001,1986/08/14 00:00:00,171,
B33F0080,001,1986/08/29 00:00:00,173,
B33F0080,001,1986/09/15 00:00:00,173,
B33F0080,001,1986/10/14 00:00:00,172,
B33F0080,001,1986/11/14 00:00:00,164,
B33F0080,001,1986/11/28 00:00:00,128,
B33F0080,001,1986/12/15 00:00:00,132,
B33F0080,001,1986/12/29 00:00:00,102,
B33F0080,001,1987/01/15 00:00:00,101,
B33F0080,001,1987/02/13 00:00:00,106,
B33F0080,001,1987/02/26 00:00:00,122,
B33F0080,001,1987/03/13 00:00:00,118,
B33F0080,001,1987/03/27 00:00:00,96,
B33F0080,001,1987/04/13 00:00:00,108,
B33F0080,001,1987/04/28 00:00:00,125,
B33F0080,001,1987/05/14 00:00:00,122,
B33F0080,001,1987/06/30 00:00:00,119,
B33F0080,001,1987/07/14 00:00:00,142,
B33F0080,001,1987/08/28 00:00:00,121,
B33F0080,001,1987/09/14 00:00:00,122,
B33F0080,001,1987/09/28 00:00:00,112,
B33F0080,001,1987/10/28 00:00:00,114,
B33F0080,001,1987/11/13 00:00:00,109,
B33F0080,001,1987/11/27 00:00:00,92,
B33F0080,001,1987/12/14 00:00:00,116,
B33F0080,001,1987/12/28 00:00:00,156,
B33F0080,001,1988/01/14 00:00:00,93,
B33F0080,001,1988/01/28 00:00:00,84,
B33F0080,001,1988/02/15 00:00:00,96,
B33F0080,001,1988/02/29 00:00:00,103,
B33F0080,001,1988/03/14 00:00:00,96,
B33F0080,001,1988/03/28 00:00:00,86,
B33F0080,001,1988/04/14 00:00:00,118,
B33F0080,001,1988/04/28 00:00:00,128,
B33F0080,001,1988/05/16 00:00:00,146,
B33F0080,001,1988/05/27 00:00:00,154,
